pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
sol LojakPaul    gain=   40.3 monster  t5=07-04 07:27 nD=0 cov=- why=
sol ELIZABETH    gain=   40.2 monster  t5=07-05 15:45 nD=39 cov=1.0 why=
sol Bullmerica25 gain=   40.1 monster  t5=07-05 09:06 nD=96 cov=0.08 why=
sol LojakPaul    gain=   20.0 regular  t5=07-04 09:41 nD=0 cov=- why=
sol ANSUM        gain=   19.9 regular  t5=07-05 07:30 nD=123 cov=0.93 why=
sol BABYANSEM    gain=   19.9 regular  t5=07-03 14:52 nD=9 cov=- why=
sol LojakPaul    gain=   19.9 regular  t5=07-03 05:37 nD=0 cov=- why=
sol Goofreck     gain=   19.9 regular  t5=07-06 14:41 nD=56 cov=1.0 why=
sol 0x           gain=   19.8 regular  t5=07-06 04:14 nD=0 cov=- why=
sol BABYANSEM    gain=   19.8 regular  t5=07-03 17:28 nD=0 cov=- why=
sol 公牛           gain=   19.8 regular  t5=07-05 18:13 nD=100 cov=0.1 why=
sol 公牛           gain=   19.8 regular  t5=07-06 02:19 nD=100 cov=0.03 why=
sol ACM          gain=   19.8 regular  t5=07-05 09:06 nD=100 cov=0.31 why=
sol Fro          gain=   19.7 regular  t5=07-06 12:07 nD=76 cov=1.0 why=
sol LojakPaul    gain=   19.7 regular  t5=07-03 19:44 nD=23 cov=0.05 why=
sol TMB          gain=   19.7 regular  t5=07-05 01:00 nD=0 cov=- why=
sol ACM          gain=   19.7 regular  t5=07-05 16:18 nD=88 cov=0.46 why=
sol BABYANSEM    gain=   19.6 regular  t5=07-04 20:18 nD=0 cov=- why=
sol 0x           gain=   19.5 regular  t5=07-05 20:03 nD=0 cov=- why=
sol SEMAN        gain=   19.5 regular  t5=07-05 22:07 nD=0 cov=- why=
sol LojakPaul    gain=   19.5 regular  t5=07-03 05:00 nD=0 cov=- why=
